Year,Make,Model/Grade,Price (JA$),URL
2020,Toyota,"Alphard 2,5L","JA$7,500,000",https://www.jacars.net/adv/2493474_toyota-alphard-2-5l-2020/
2023,Toyota,"RAV4 2,0L","JA$6,500,000",https://www.jacars.net/adv/2501457_toyota-rav4-2-0l-2023/
2019,Toyota,"Aqua 1,5L","JA$2,350,000",https://www.jacars.net/adv/2481974_toyota-aqua-1-5l-2019/
2006,Toyota,"Picnic 2,0L","JA$550,000",https://www.jacars.net/adv/2499232_toyota-picnic-2-0l-2006/
2015,Toyota,"Voxy 2,0L",Call for price,https://www.jacars.net/adv/2474115_toyota-voxy-2-0l-2015/
2017,Toyota,"Noah 2,0L",Call for price,https://www.jacars.net/adv/2501448_toyota-noah-2-0l-2017/
2019,Toyota,"Voxy 2,0L","JA$3,950,000",https://www.jacars.net/adv/2501443_toyota-voxy-2-0l-2019/
2019,Toyota,"Voxy 2,0L",Call for price,https://www.jacars.net/adv/2501441_toyota-voxy-2-0l-2019/
2023,Toyota,"RAV4 2,0L",Call for price,https://www.jacars.net/adv/2501440_toyota-rav4-2-0l-2023/
2019,Toyota,"Mark X 3,5L","JA$4,080,000",https://www.jacars.net/adv/2501438_toyota-mark-x-3-5l-2019/
2020,Toyota,"Fielder 1,8L","JA$2,500,000",https://www.jacars.net/adv/2501402_toyota-fielder-1-8l-2020/
2019,Toyota,"Noah 2,0L","JA$3,990,000",https://www.jacars.net/adv/2501436_toyota-noah-2-0l-2019/
2020,Toyota,"Axio 1,5L","JA$2,499,999",https://www.jacars.net/adv/2501430_toyota-axio-1-5l-2020/
2020,Toyota,"C-HR 1,8L","JA$3,980,000",https://www.jacars.net/adv/2501428_toyota-c-hr-1-8l-2020/
2016,Toyota,"Voxy 2,0L","JA$3,150,000",https://www.jacars.net/adv/2501417_toyota-voxy-2-0l-2016/
2019,Toyota,"Probox 1,5L","JA$1,950,000",https://www.jacars.net/adv/2501415_toyota-probox-1-5l-2019/
2016,Toyota,"Mark X 2,5L","JA$3,200,000",https://www.jacars.net/adv/2501413_toyota-mark-x-2-5l-2016/
2018,Toyota,"Probox 1,5L","JA$1,880,000",https://www.jacars.net/adv/2501411_toyota-probox-1-5l-2018/
2016,Toyota,"Mark X 3,5L","JA$3,990,000",https://www.jacars.net/adv/2494106_toyota-mark-x-3-5l-2016/
2022,Toyota,"RAV4 2,0L","JA$6,550,000",https://www.jacars.net/adv/2494623_toyota-rav4-2-0l-2022/
2020,Toyota,"Aqua 1,5L",Call for price,https://www.jacars.net/adv/2485715_toyota-aqua-1-5l-2020/
2018,Toyota,"Aqua 1,5L",Call for price,https://www.jacars.net/adv/2433364_toyota-aqua-1-5l-2018/
2015,Toyota,"Voxy 2,0L","JA$2,850,000",https://www.jacars.net/adv/2501407_toyota-voxy-2-0l-2015/
2019,Toyota,"Vitz 1,0L","JA$2,399,000",https://www.jacars.net/adv/2389156_toyota-vitz-1-3l-2019/
2019,Toyota,"Hiace 2,0L","JA$3,950,000",https://www.jacars.net/adv/2501401_toyota-hiace-2-0l-2019/
2015,Toyota,"Mark X 2,5L","JA$2,850,000",https://www.jacars.net/adv/2501398_toyota-mark-x-2-5l-2015/
2014,Toyota,"Mark X 2,5L","Swap, Negotiable",https://www.jacars.net/adv/2501047_toyota-mark-x-2-5l-2014/
2020,Toyota,"Hiace 2,8L","JA$3,950,000",https://www.jacars.net/adv/2484646_toyota-hiace-2-8l-2020/
2015,Toyota,"Voxy 2,0L","JA$2,799,999",https://www.jacars.net/adv/2501394_toyota-voxy-2-0l-2015/
1999,Toyota,"RAV4 2,0L","JA$650,000",https://www.jacars.net/adv/2501393_toyota-rav4-2-0l-1999/
2016,Toyota,"Voxy 2,0L","JA$2,999,999",https://www.jacars.net/adv/2501392_toyota-voxy-2-0l-2016/
2014,Toyota,"Voxy 2,0L","JA$2,099,999",https://www.jacars.net/adv/2501390_toyota-voxy-2-0l-2014/
2021,Toyota,"Noah 2,0L","JA$3,499,999",https://www.jacars.net/adv/2501389_toyota-noah-2-0l-2021/
2016,Toyota,"Vellfire 2,0L","JA$4,700,000",https://www.jacars.net/adv/2497590_toyota-vellfire-2-0l-2016/
2016,Toyota,"Voxy 2,0L","JA$3,090,000",https://www.jacars.net/adv/2501384_toyota-voxy-2-0l-2016/
2015,Toyota,"Axio 1,5L","JA$1,500,000",https://www.jacars.net/adv/2501327_toyota-axio-1-5l-2015/
2020,Toyota,"Voxy 2,0L","JA$4,450,000",https://www.jacars.net/adv/2493785_2020-toyota-voxy-zs-kirameki-ii/
2019,Toyota,"Voxy 2,0L","JA$3,980,000",https://www.jacars.net/adv/2480576_toyota-voxy-2-0l-2019/
2019,Toyota,"Voxy 2,0L","JA$3,450,000",https://www.jacars.net/adv/2480495_toyota-voxy-2-0l-2019/
2012,Toyota,"Voxy 2,0L","JA$1,700,000",https://www.jacars.net/adv/2501374_toyota-voxy-1-5l-2012/
2020,Toyota,"Axio 1,5L","JA$2,399,999",https://www.jacars.net/adv/2474159_toyota-axio-1-5l-2020/
2019,Toyota,"Axio 1,5L","JA$2,650,000",https://www.jacars.net/adv/2501371_toyota-axio-1-5l-2019/
2019,Toyota,"Corolla 1,8L","JA$2,950,000",https://www.jacars.net/adv/2501370_toyota-corolla-1-8l-2019/
2019,Toyota,"Axio 1,5L","JA$2,499,999",https://www.jacars.net/adv/2454629_toyota-axio-1-5l-2019/
2020,Toyota,"Hiace 2,7L","JA$5,350,000",https://www.jacars.net/adv/2486794_toyota-hiace-2-7l-2020/
2020,Toyota,"C-HR 1,8L","JA$3,999,999",https://www.jacars.net/adv/2465548_toyota-c-hr-1-8l-2020/
2015,Toyota,"Noah 2,0L","JA$3,000,000",https://www.jacars.net/adv/2501363_toyota-noah-2-0l-2015/
2020,Toyota,"Axio 1,5L","JA$2,550,000",https://www.jacars.net/adv/2498905_toyota-axio-1-5l-2020/
2020,Toyota,"RAV4 2,0L","JA$5,200,000",https://www.jacars.net/adv/2499451_toyota-rav4-2-0l-2020/
2016,Toyota,"Noah 2,0L","JA$2,790,000",https://www.jacars.net/adv/2490015_toyota-noah-2-0l-2016/
2015,Toyota,"Wish 2,0L","JA$2,150,000",https://www.jacars.net/adv/2495281_toyota-wish-2-0l-2015/
2015,Toyota,"Voxy 2,0L","JA$2,950,000",https://www.jacars.net/adv/2494538_toyota-voxy-2-0l-2015/
2020,Toyota,"Probox 1,5L","JA$2,100,000",https://www.jacars.net/adv/2491691_cars-caravan-1-5l-2020/
2012,Toyota,"Voxy 2,0L","JA$1,750,000",https://www.jacars.net/adv/2501335_toyota-voxy-3-0l-2012/
2013,Toyota,"Premio 2,0L","JA$1,500,000",https://www.jacars.net/adv/2501333_toyota-premio-2-0l-2013/
1995,Toyota,"Tacoma 2,5L","JA$1,100,000",https://www.jacars.net/adv/2501332_toyota-tacoma-6-0l-1995/
2019,Toyota,"Vitz 1,0L","JA$1,950,000",https://www.jacars.net/adv/2501330_toyota-vitz-1-0l-2019/
2016,Toyota,"Voxy 1,9L","JA$2,990,000",https://www.jacars.net/adv/2484985_toyota-voxy-1-9l-2016/
2017,Toyota,"Esquire 1,9L","JA$2,890,000",https://www.jacars.net/adv/2449208_toyota-esquire-1-9l-2017/
2015,Toyota,"Esquire 1,9L","JA$2,670,000",https://www.jacars.net/adv/2475405_toyota-esquire-1-9l-2015/
2017,Toyota,"Voxy 2,0L","JA$3,000,000",https://www.jacars.net/adv/2501326_toyota-voxy-2-0l-2017/
2013,Toyota,"Mark X ZiO 2,5L","JA$1,380,000",https://www.jacars.net/adv/2501319_toyota-mark-x-zio-2-5l-2013/
2023,Toyota,"RAV4 2,5L","JA$6,500,000",https://www.jacars.net/adv/2501310_toyota-rav4-2-5l-2023/
2016,Toyota,"Noah 2,0L","JA$2,650,000",https://www.jacars.net/adv/2501308_toyota-noah-2-0l-2016/
2020,Toyota,"Hiace 2,8L","JA$4,100,000",https://www.jacars.net/adv/2501304_toyota-hiace-2-8l-2020/
2015,Toyota,"Premio 1,5L","JA$1,700,000",https://www.jacars.net/adv/2501303_toyota-premio-1-5l-2015/
2016,Toyota,"Wish 2,0L","JA$2,390,000",https://www.jacars.net/adv/2501300_toyota-wish-2-0l-2016/
2019,Toyota,"Hiace 2,0L","JA$3,950,000",https://www.jacars.net/adv/2501297_toyota-hiace-2-0l-2019/
2020,Toyota,"Noah 2,0L","JA$3,900,000",https://www.jacars.net/adv/2501295_toyota-noah-2-0l-2020/
2020,Toyota,"C-HR 1,8L","JA$3,990,000",https://www.jacars.net/adv/2493295_toyota-c-hr-1-8l-2020/
2009,Toyota,"Hilux 3,0L",Call for price,https://www.jacars.net/adv/2501274_toyota-hilux-3-0l-2009/
2015,Toyota,"Wish 1,8L","JA$2,250,000",https://www.jacars.net/adv/2501264_toyota-wish-1-8l-2015/
2009,Toyota,"Hilux 3,0L",Call for price,https://www.jacars.net/adv/2501272_toyota-hilux-3-0l-2009/
2013,Toyota,"Mark X 2,5L","JA$1,930,000",https://www.jacars.net/adv/2492077_toyota-mark-x-2-5l-2013/
2017,Toyota,"Probox 1,5L","JA$1,580,000",https://www.jacars.net/adv/2501269_toyota-probox-1-5l-2017/
2012,Toyota,"Axio 1,5L","JA$1,250,000",https://www.jacars.net/adv/2501267_toyota-axio-1-5l-2012/
2015,Toyota,"Axio 1,5L","JA$1,400,000",https://www.jacars.net/adv/2499429_toyota-axio-3-3l-2015/
2015,Toyota,"Axio 1,5L","JA$1,950,000",https://www.jacars.net/adv/2501263_toyota-axio-1-5l-2015/
2013,Toyota,"Axio 1,5L","JA$1,350,000",https://www.jacars.net/adv/2501262_toyota-axio-1-5l-2013/
1990,Toyota,"Corolla 1,6L","JA$260,000",https://www.jacars.net/adv/2501260_toyota-corolla-1-6l-1990/
2015,Toyota,"Wish 1,8L","JA$2,250,000",https://www.jacars.net/adv/2501259_toyota-wish-1-8l-2015/
2017,Toyota,"Voxy 2,0L","JA$3,100,000",https://www.jacars.net/adv/2492685_toyota-voxy-2-0l-2017/
2023,Toyota,"Harrier 2,5L","JA$7,150,000",https://www.jacars.net/adv/2499193_toyota-harrier-2-5l-2023/
2017,Toyota,"Hiace 2,5L","JA$3,150,000",https://www.jacars.net/adv/2495618_toyota-hiace-2-5l-2017/
2019,Toyota,"Noah 2,0L",Call for price,https://www.jacars.net/adv/2494570_toyota-noah-2-0l-2019/
2012,Toyota,"Vitz 1,3L","JA$980,000",https://www.jacars.net/adv/2488589_toyota-vitz-1-3l-2012/
2021,Toyota,"Probox 1,5L","JA$2,150,000",https://www.jacars.net/adv/2501256_toyota-probox-1-5l-2021/
2014,Toyota,"Vitz 1,3L","JA$1,390,000",https://www.jacars.net/adv/2501255_toyota-vitz-1-3l-2014/
2019,Toyota,"Vitz 1,0L",Call for price,https://www.jacars.net/adv/2458683_toyota-vitz-1-0l-2019/
2018,Toyota,"Aqua 1,5L",Call for price,https://www.jacars.net/adv/2412939_toyota-aqua-1-5l-2018/
2019,Toyota,"Fielder 1,5L",Call for price,https://www.jacars.net/adv/2442271_toyota-fielder-1-5l-2019/
2014,Toyota,"RAV4 2,0L","JA$2,500,000",https://www.jacars.net/adv/2501254_toyota-rav4-2-0l-2014/
2018,Toyota,"Hiace 2,0L",Call for price,https://www.jacars.net/adv/2492038_toyota-hiace-2-0l-2018/
2020,Toyota,"Voxy 2,0L",Call for price,https://www.jacars.net/adv/2482587_toyota-voxy-2-0l-2020/
2020,Toyota,"Sienta 1,5L",Call for price,https://www.jacars.net/adv/2491994_toyota-sienta-1-5l-2020/
2019,Toyota,"Vitz 1,0L",Call for price,https://www.jacars.net/adv/2491993_toyota-vitz-1-0l-2019/
2020,Toyota,"Probox 1,5L",Call for price,https://www.jacars.net/adv/2470829_toyota-probox-1-5l-2019/
2020,Toyota,"Aqua 1,8L","JA$1,999,999",https://www.jacars.net/adv/2501251_toyota-aqua-1-8l-2020/
2019,Toyota,"Probox 1,5L","JA$1,990,000",https://www.jacars.net/adv/2501249_toyota-probox-1-5l-2019/
2010,Toyota,"Crown Athlete 3,5L","JA$1,850,000",https://www.jacars.net/adv/2501243_toyota-crown-athlete-3-5l-2010/
2015,Toyota,"Mark X 2,5L","JA$2,500,000",https://www.jacars.net/adv/2501240_toyota-mark-x-2-5l-2015/
2013,Toyota,"Isis 1,8L","JA$1,350,000",https://www.jacars.net/adv/2501238_toyota-isis-1-8l-2013/
2012,Toyota,"Noah 2,0L","JA$1,990,000",https://www.jacars.net/adv/2501236_toyota-noah-2-0l-2012/
2014,Toyota,"Crown 2,5L","JA$3,200,000",https://www.jacars.net/adv/2501234_toyota-crown-2-5l-2014/
2013,Toyota,"Voxy 2,0L","JA$1,880,000",https://www.jacars.net/adv/2501231_toyota-voxy-2-0l-2013/
2015,Toyota,"Voxy 2,0L","JA$2,550,000",https://www.jacars.net/adv/2501230_toyota-voxy-2-0l-2015/
2011,Toyota,"Prius 1,8L","JA$1,050,000",https://www.jacars.net/adv/2501228_toyota-prius-1-8l-2011/
2019,Toyota,"Axio 1,5L","JA$1,950,000",https://www.jacars.net/adv/2499505_toyota-axio-1-5l-2019/
2016,Toyota,"Wish 1,8L","JA$2,280,000",https://www.jacars.net/adv/2486494_toyota-wish-1-8l-2016/
2020,Toyota,"RAV4 2,0L","JA$5,150,000",https://www.jacars.net/adv/2501226_toyota-rav4-2-0l-2020/
2015,Toyota,"Voxy 2,0L","JA$2,980,000",https://www.jacars.net/adv/2498517_toyota-voxy-2-0l-2015/
2025,Toyota,"Land Cruiser Prado 2,7L",Negotiable,https://www.jacars.net/adv/2501220_toyota-land-cruiser-prado-2-7l-2025/
2008,Toyota,"Land Cruiser Prado 3,0L","JA$2,450,000",https://www.jacars.net/adv/2500441_toyota-land-cruiser-prado-3-0l-2008/
2015,Toyota,"Mark X 2,5L","JA$1,750,000",https://www.jacars.net/adv/2501207_toyota-mark-x-2-5l-2015/
2017,Toyota,"Mark X 2,5L","JA$2,650,000",https://www.jacars.net/adv/2501201_toyota-mark-x-2-5l-2017/
2020,Toyota,"Aqua 1,5L","JA$1,850,000",https://www.jacars.net/adv/2497227_toyota-aqua-1-5l-2020/
2015,Toyota,"Voxy 2,0L","JA$3,650,000",https://www.jacars.net/adv/2501200_toyota-voxy-2-0l-2015/
2020,Toyota,"Probox 1,3L","JA$1,880,000",https://www.jacars.net/adv/2490313_toyota-probox-1-4l-2019/
2020,Toyota,"Axio 1,5L","JA$2,420,000",https://www.jacars.net/adv/2501186_toyota-axio-1-5l-2020/
2013,Toyota,"Mark X 2,5L","JA$2,150,000",https://www.jacars.net/adv/2501180_toyota-mark-x-0-6l-2013/
2018,Toyota,"Axio 1,5L","JA$2,150,000",https://www.jacars.net/adv/2501178_toyota-axio-1-5l-2018/
2013,Toyota,"Vitz 1,0L","JA$1,150,000",https://www.jacars.net/adv/2499239_toyota-vitz-1-0l-2013/
2011,Toyota,"Crown 2,5L","JA$1,450,000",https://www.jacars.net/adv/2501169_toyota-crown-2-5l-2011/
2020,Toyota,"Raize 1,0L","JA$3,450,000",https://www.jacars.net/adv/2501159_toyota-raize-1-0l-2020/
2022,Toyota,"Noah 2,0L","JA$5,380,000",https://www.jacars.net/adv/2501155_toyota-noah-2-0l-2022/
2016,Toyota,"Voxy 2,0L","JA$3,090,000",https://www.jacars.net/adv/2501153_toyota-voxy-2-0l-2016/
2020,Toyota,"RAV4 2,0L",Call for price,https://www.jacars.net/adv/2497331_toyota-rav4-2-0l-2020/
2019,Toyota,"Axio 1,5L",Call for price,https://www.jacars.net/adv/2459233_toyota-axio-1-5l-2019/
2014,Toyota,"Voxy 2,0L","JA$2,500,000",https://www.jacars.net/adv/2501146_toyota-voxy-2-0l-2014/
2019,Toyota,"Crown 2,0L","JA$5,480,000",https://www.jacars.net/adv/2501147_toyota-crown-2-0l-2019/
2024,Toyota,"Raize 1,2L","JA$3,990,000",https://www.jacars.net/adv/2497334_toyota-raize-1-2l-2024/
2021,Toyota,"Voxy 2,0L","JA$4,650,000",https://www.jacars.net/adv/2501143_toyota-voxy-2-0l-2021/
2015,Toyota,"Noah 2,0L","JA$2,650,000",https://www.jacars.net/adv/2497304_toyota-noah-2-0l-2015/
2020,Toyota,"Probox 1,5L","JA$2,050,000",https://www.jacars.net/adv/2501142_toyota-probox-1-5l-2020/
2013,Toyota,"Vitz 1,0L","JA$1,290,000",https://www.jacars.net/adv/2501117_toyota-vitz-1-0l-2013/
2016,Toyota,"Mark X 2,5L","JA$2,950,000",https://www.jacars.net/adv/2501138_toyota-mark-x-2-5l-2016/
2018,Toyota,"Noah 2,0L","JA$3,350,000",https://www.jacars.net/adv/2501136_toyota-noah-2-0l-2018/
2018,Toyota,"Noah 2,0L","JA$3,350,000",https://www.jacars.net/adv/2501133_toyota-noah-2-0l-2018/
2018,Toyota,"Noah 2,0L","JA$3,350,000",https://www.jacars.net/adv/2501131_toyota-noah-2-0l-2018/
2015,Toyota,"Voxy 2,0L","JA$3,300,000",https://www.jacars.net/adv/2501130_toyota-voxy-2-0l-2015/
2019,Toyota,"Noah 2,0L","JA$3,950,000",https://www.jacars.net/adv/2501128_toyota-noah-2-0l-2019/
2018,Toyota,"Voxy 2,0L","JA$3,400,000",https://www.jacars.net/adv/2501127_toyota-voxy-2-0l-2018/
2019,Toyota,"Noah 2,0L","JA$3,950,000",https://www.jacars.net/adv/2501121_toyota-noah-2-0l-2019/
2020,Toyota,"Voxy 2,0L",Call for price,https://www.jacars.net/adv/2488944_toyota-voxy-2-0l-2020/
2014,Toyota,"Voxy 2,0L",Call for price,https://www.jacars.net/adv/2501120_toyota-voxy-2-0l-2014/
2015,Toyota,"Crown Athlete 2,5L","JA$4,300,000",https://www.jacars.net/adv/2501119_toyota-crown-athlete-2-5l-2015/
2020,Toyota,"Hiace 2,7L","JA$5,500,000",https://www.jacars.net/adv/2501118_toyota-hiace-2-7l-2020/
2015,Toyota,"Voxy 2,0L","JA$3,300,000",https://www.jacars.net/adv/2501116_toyota-voxy-2-0l-2015/
2018,Toyota,"Voxy 2,0L","JA$3,450,000",https://www.jacars.net/adv/2501115_toyota-voxy-2-0l-2018/
2017,Toyota,"Fielder 1,5L","JA$2,350,000",https://www.jacars.net/adv/2501113_toyota-fielder-1-5l-2017/
2021,Toyota,"Yaris 1,0L","JA$2,250,000",https://www.jacars.net/adv/2501112_toyota-yaris-1-0l-2021/
2020,Toyota,"Allion 2,0L","JA$3,690,000",https://www.jacars.net/adv/2501110_toyota-allion-2-0l-2020/
2020,Toyota,"Probox 1,5L","JA$1,850,000",https://www.jacars.net/adv/2501108_toyota-probox-1-5l-2020/
2012,Toyota,"Isis 1,8L","JA$1,280,000",https://www.jacars.net/adv/2501098_toyota-isis-1-8l-2012/
2016,Toyota,"Voxy 1,8L","JA$2,700,000",https://www.jacars.net/adv/2501101_toyota-voxy-1-8l-2016/
2016,Toyota,"Axio 1,5L","JA$2,350,000",https://www.jacars.net/adv/2501097_toyota-axio-1-5l-2016/
2016,Toyota,"Voxy 2,0L","JA$3,150,000",https://www.jacars.net/adv/2501095_toyota-voxy-2-0l-2016/
2016,Toyota,"Fielder 1,5L","JA$2,200,000",https://www.jacars.net/adv/2501090_toyota-fielder-1-5l-2016/
2016,Toyota,"Axio 1,5L",Call for price,https://www.jacars.net/adv/2501089_toyota-axio-1-5l-2016/
2018,Toyota,"Mark X 2,5L","JA$3,500,000",https://www.jacars.net/adv/2501081_toyota-mark-x-2-5l-2018/
2020,Toyota,"Probox 1,5L","JA$2,200,000",https://www.jacars.net/adv/2501077_toyota-probox-1-5l-2020/
2017,Toyota,"Corolla 1,8L","JA$1,450,000",https://www.jacars.net/adv/2470125_toyota-corolla-1-8l-2017/
2019,Toyota,"C-HR 1,8L","JA$3,490,000",https://www.jacars.net/adv/2486893_toyota-c-hr-1-8l-2019/
2020,Toyota,"Probox 1,3L","JA$1,900,000",https://www.jacars.net/adv/2491717_toyota-probox-1-3l-2020/
2015,Toyota,"Corolla 1,8L","JA$1,690,000",https://www.jacars.net/adv/2487791_toyota-corolla-1-8l-2015/
2017,Toyota,"Wish 1,7L","JA$2,350,000",https://www.jacars.net/adv/2479578_toyota-wish-1-5l-2017/
2017,Toyota,"Probox 1,5L","JA$1,750,000",https://www.jacars.net/adv/2496972_toyota-probox-1-5l-2017/
2014,Toyota,"Corolla Altis 1,8L","JA$1,750,000",https://www.jacars.net/adv/2496976_toyota-corolla-altis-1-8l-2014/
2021,Toyota,"Noah 2,0L","JA$3,700,000",https://www.jacars.net/adv/2501066_toyota-noah-2-1l-2021/
2012,Toyota,"Fortuner 2,4L","JA$2,470,000",https://www.jacars.net/adv/2501060_toyota-fortuner-2-4l-2012/
2015,Toyota,"Hiace 3,0L","JA$3,290,000",https://www.jacars.net/adv/2501055_toyota-hiace-3-0l-2015/
2015,Toyota,"Crown 2,5L","JA$3,150,000",https://www.jacars.net/adv/2501053_toyota-crown-2-5l-2015/
2017,Toyota,"Voxy 2,0L","JA$3,890,000",https://www.jacars.net/adv/2501052_toyota-voxy-2-0l-2017/
2020,Toyota,"Voxy 2,0L","JA$5,080,000",https://www.jacars.net/adv/2501040_toyota-voxy-2-0l-2020/
2015,Toyota,"Esquire 2,0L","JA$2,600,000",https://www.jacars.net/adv/2495716_toyota-esquire-2-0l-2015/
2015,Toyota,"Axio 1,5L",Negotiable,https://www.jacars.net/adv/2501020_toyota-axio-2-0l-2015/
2019,Toyota,"Noah 2,0L","JA$3,380,000",https://www.jacars.net/adv/2475463_2019-toyota-noah-g/
2015,Toyota,"Yaris 1,3L","JA$1,150,000",https://www.jacars.net/adv/2501029_toyota-yaris-1-3l-2015/
2018,Toyota,"Fielder 1,5L","JA$1,850,000",https://www.jacars.net/adv/2501026_toyota-fielder-1-5l-2018/
2014,Toyota,"Corolla 1,3L","JA$1,420,000",https://www.jacars.net/adv/2499089_toyota-corolla-1-3l-2014/
2019,Toyota,"Axio 2,0L","JA$2,400,000",https://www.jacars.net/adv/2496641_toyota-axio-2-0l-2019/
2019,Toyota,"Probox 1,5L","JA$1,900,000",https://www.jacars.net/adv/2496638_toyota-probox-1-5l-2019/
2017,Toyota,"Mark X 2,5L",Call for price,https://www.jacars.net/adv/2496612_toyota-mark-x-2-5l-2017/
2016,Toyota,"Voxy 2,0L","JA$2,700,000",https://www.jacars.net/adv/2472708_toyota-voxy-2-0l-2015/
2022,Toyota,"Hilux 2,8L","JA$7,500,000",https://www.jacars.net/adv/2501021_toyota-hilux-2-8l-2022/
2015,Toyota,"Noah 2,0L","JA$2,950,000",https://www.jacars.net/adv/2499289_toyota-noah-2-0l-2015/
2020,Toyota,"Probox 1,5L","JA$1,925,000",https://www.jacars.net/adv/2492544_toyota-probox-1-5l-2020/
2015,Toyota,"Voxy 2,0L","JA$2,700,000",https://www.jacars.net/adv/2500993_toyota-voxy-2-0l-2015/
2018,Toyota,"Voxy 2,0L","JA$3,850,000",https://www.jacars.net/adv/2493097_toyota-voxy-2-0l-2018/
2020,Toyota,"Land Cruiser Prado 2,8L","JA$10,500,000",https://www.jacars.net/adv/2493082_toyota-land-cruiser-prado-2-8l-2020/
2016,Toyota,"Voxy 2,0L","JA$3,150,000",https://www.jacars.net/adv/2486300_toyota-voxy-2-0l-2016/
2016,Toyota,"Noah 2,0L","JA$3,050,000",https://www.jacars.net/adv/2480812_toyota-noah-2-0l-2016/
2018,Toyota,"Hilux 2,4L","JA$6,850,000",https://www.jacars.net/adv/2493099_toyota-hilux-2-4l-2018/
2018,Toyota,"Aqua 1,5L","JA$1,690,000",https://www.jacars.net/adv/2442706_toyota-aqua-1-5l-2018/
2019,Toyota,"Voxy 2,0L","JA$3,650,000",https://www.jacars.net/adv/2466283_toyota-voxy-2-0l-2019/
2019,Toyota,"Corolla 2,8L","JA$2,880,000",https://www.jacars.net/adv/2473979_toyota-corolla-2-8l-2019/
1998,Toyota,"Camry 2,0L","JA$220,000",https://www.jacars.net/adv/2500990_toyota-camry-2-0l-1998/
2016,Toyota,"Voxy 2,0L","JA$3,250,000",https://www.jacars.net/adv/2498294_toyota-voxy-2-0l-2016/
2016,Toyota,"Voxy 2,0L","JA$2,650,000",https://www.jacars.net/adv/2497807_toyota-voxy-2-0l-2016/
2017,Toyota,"Fielder 1,8L","JA$2,650,000",https://www.jacars.net/adv/2500986_toyota-fielder-1-8l-2017/
2017,Toyota,"Fielder 1,5L","JA$2,250,000",https://www.jacars.net/adv/2500984_toyota-fielder-1-5l-2017/
2019,Toyota,"Probox 1,5L","JA$1,700,000",https://www.jacars.net/adv/2500975_toyota-probox-1-5l-2019/
2017,Toyota,"Crown 2,5L",Negotiable,https://www.jacars.net/adv/2500970_toyota-crown-2-5l-2017/
2015,Toyota,"Noah 1,8L","JA$2,200,000",https://www.jacars.net/adv/2491866_toyota-noah-2-0l-2015/
2015,Toyota,"Voxy 2,0L","JA$3,120,000",https://www.jacars.net/adv/2500958_toyota-voxy-2-0l-2015/
2019,Toyota,"Voxy 2,0L","JA$3,550,000",https://www.jacars.net/adv/2500956_toyota-voxy-2-0l-2019/
2020,Toyota,"C-HR 1,5L","JA$3,590,000",https://www.jacars.net/adv/2498097_toyota-c-hr-1-5l-2020/
2012,Toyota,"Fielder 1,8L","JA$1,120,000",https://www.jacars.net/adv/2500944_toyota-fielder-1-5l-2012/
2014,Toyota,"Fielder 1,5L","JA$1,450,000",https://www.jacars.net/adv/2500942_toyota-fielder-1-5l-2014/
2020,Toyota,"Probox 1,3L","JA$2,100,000",https://www.jacars.net/adv/2490743_toyota-probox-1-3l-2020/
2015,Toyota,"Voxy 2,0L",Call for price,https://www.jacars.net/adv/2493077_toyota-voxy-2-0l-2015/
2016,Toyota,"Mark X 2,5L",Call for price,https://www.jacars.net/adv/2496500_toyota-mark-x-2-5l-2016/
2015,Toyota,"Mark X 2,5L",Call for price,https://www.jacars.net/adv/2496501_toyota-mark-x-2-5l-2015/
2020,Toyota,"C-HR 2,0L",Call for price,https://www.jacars.net/adv/2496502_toyota-c-hr-2-0l-2020/
2018,Toyota,"Axio 1,5L","JA$1,850,000",https://www.jacars.net/adv/2500937_toyota-axio-1-5l-2018/
2017,Toyota,"Axio 1,5L","JA$2,280,000",https://www.jacars.net/adv/2500934_toyota-axio-1-5l-2017/
2019,Toyota,"Mark X 2,5L",Call for price,https://www.jacars.net/adv/2500933_toyota-mark-x-2-5l-2019/
2022,Toyota,"Corolla 1,8L","JA$3,650,000",https://www.jacars.net/adv/2483963_toyota-corolla-1-8l-2022/
2020,Toyota,"Axio 1,5L","JA$2,500,000",https://www.jacars.net/adv/2477634_toyota-axio-1-5l-2020/
2016,Toyota,"Probox 1,5L","JA$1,250,000",https://www.jacars.net/adv/2500913_toyota-probox-1-5l-2016/
2020,Toyota,"Probox 1,5L",Call for price,https://www.jacars.net/adv/2500911_toyota-probox-1-5l-2020/
2017,Toyota,"Axio 1,5L",Call for price,https://www.jacars.net/adv/2500910_toyota-axio-1-5l-2017/
2015,Toyota,"Fielder 1,5L","JA$1,990,000",https://www.jacars.net/adv/2500909_toyota-fielder-1-5l-2015/
2020,Toyota,"Axio 1,5L","JA$2,470,000",https://www.jacars.net/adv/2500908_toyota-axio-1-5l-2020/
2021,Toyota,"Axio 1,5L","JA$2,550,000",https://www.jacars.net/adv/2494371_toyota-axio-1-5l-2021/
2022,Toyota,"Raize 1,3L","JA$3,550,000",https://www.jacars.net/adv/2500906_toyota-raize-1-3l-2022/
2022,Toyota,"Probox 1,3L",Call for price,https://www.jacars.net/adv/2500903_toyota-probox-1-3l-2022/
2021,Toyota,"Yaris Cross 1,5L",Call for price,https://www.jacars.net/adv/2500902_toyota-yaris-cross-1-5l-2021/
